clue,answer
_ _ for customers only!,CUCUMBER WATER
_ boys don't stop!,MULLINGAR
_ is on a bike,AHMED
"_ James, frequent clue subject 🎵",ETTA
_ Pizzeria — the bad idea,SCAVO
_ SUMMER!,BRAT
:(,SADFACE
:),HAPPYFACE
“He who controls the _ controls the universe!”,SPICE
“How you likin the _ girl?! 🤪”,RAIN
"""I'll be back""",TERMINATOR
"""I'll be back"" speaker",TERMINATOR
“I’m blinded by the _.”,LIGHTS
"“It’s Friday, I’m in _.”",LOVE
“Not the greatest feeling...”,EVER
“She was holding hands with...”,TREVOR
“Teenagers scare the living _ out of me.”,SHIT
“Up the _!”,RA
“We _ for you”,HEAR
"""We _ for you""",HEAR
“You should try your luck with...”,HEATHER
A cool way to order alcohol,NEAT
A mega pint?,JOHNNY DEPP
A mythical monster,OGRE
A region,AREA
A slippery fish,EEL
A small insect,ANT
A succulent plant,ALOE
About 1.8 meters deep,SIX FEET UNDER
Albanian currency,LEK
Alcoholic cop with a dead son,MIKE EHRMANTRAUT
Allen and Coen,ETHANS
Ancient/Roman name for Ireland,HIBERNIA
Aquatic mammal,ORCA
Aquatic mammal,OTTER
Arizona state capital,PHOENIX
Assemble,GATHER
Azerbaijan capital,BAKU
Baby Driver incorrect mask,MIKE MYERS
Bauld pints,BABY DUCK
Beam in a bar,JIM
Before the night before Christmas,TWAS
Biblical paradise described in Genesis 2–3 and Ezekiel 28,EDEN
Big bird of Australia,EMU
Bird related,APIAN
Board game,DARTS
Bram Stoker’s famous vampire novel,DRACULA
Bulgarian currency,LEV
Burrowing marsupial,WOMBAT
Bushy row,HEDGE
California state capital,SACRAMENTO
Capital of Norway,OSLO
Capital of Peru,LIMA
"Cartman of ""South Park""",ERIC
Cat in Marc's stupid books,PRINCESS DONUT
Character in Rosemary's Baby,APOSTROPHE
Charlotte Brontë novel set partly at Thornfield Hall,JANE EYRE
Clare county town,ENNIS
"Class actor, probably really tiring to be around",COLIN FARRELL
Clyde Livingston’s ironic baseball nickname,SWEET FEET
Colorado state capital,DENVER
Croatia capital,ZAGREB
Cyprus capital,NICOSIA
D.C. in Fontaines,DUBLIN CITY
D.C. in Fontaines D.C.,DUBLIN CITY
Delicious Better Call Saul antagonist,NACHO
Diesel often found in muscle cars,VINN
Digital inhalant,VAPES
Director of Frances Ha and Marriage Story.,NOAH BAUMBACH
Dr __ Fünke,TOBIAS
Dublin's river,LIFFEY
Dutch cheese,EDAM
E-Commerce for chinese tat,ETSY
Edinburgh sandwich purveyor,BREAD MEATS BREAD
Eggs on toast,CHEERS
"Ex-carpenter, actor, rogue",HARRISON FORD
Eyeliner politician,JD VANCE
Fencer's blade,EPEE
First female EGOT winner,HELEN HAYES
First-born son of Seth,ENOS
Flavour enhancer,MSG
FOUR _??,NAAN
Furry species in the Star Wars universe,EWOK
General Fiasco singer,OWEN STRATHERN
Georgia capital,TBILISI
Georgia state capital,ATLANTA
Get a long little doggy?,ADOPT
Good or bad hoover review,SUCKS
Grand saga,EPIC
Great lake,ERIE
Great on a Thursday around 11.45pm,MUNCHIE BOX
Handsome old seaman,CAPTAIN LEE
Hard to comprehend,BAFFLING
Hawaii state capital,HONOLULU
He is one,GAS
He who controls the _ controls the universe!,SPICE
He's been a cowboy the last two times we saw him,JON VOIGHT
Herd of elk,GANG
"Here’s looking at you, _.",KID
Himalayan country,NEPAL
HipsterBeer,IPA
Hitler's dog's name,BLONDI
How you likin the _ girl?! 🤪,RAIN
Human pain sponge,TOM WAMBSGANS
Hunks of plastic?,KENS
I ate his liver with some fava beans and a nice _.,CHIANTI
I just don’t like you _.,NO MORE
I wanna move like a new _,SALAMANDER
I'm blinded by the _.,LIGHTS
I’m so much happier now that I’m _.,DEAD
"If I take a picture, will you say cheese? / My favourite character in Friends is _",PHOEBE
Interested in politics from a very young age,CONNOR ROY
"Intermission masks, surname",HASSELHOFF
Irish county / Mullingar's home,WESTMEATH
Irish province,LEINSTER
"It's Friday, I'm in _.",LOVE
"June, June, ___",HANNAH
Just an inspiring word,EPIPHANY
Kazakhstan capital,ASTANA
Kerry county town,TRALEE
Kildare county town,NAAS
Kim’s 72-day husband,KRIS HUMPHRIES
Kind of salts,EPSOM
King of edible leaves,SPINACH
Lake in Scotland,LOCH
Largest continent,ASIA
Lemur or ape,PRIMATE
Lion's share,PRIDE
Little ginger car fella,WILLIE
Long flute,OBOE
Magazine with dangerous sex tips,COSMOPOLITAN
Mannerly Salamanca with immaculate manners,LALO
Marc wants to work here,ISO
"Marc, consistently",SLAY
Massachusetts state capital,BOSTON
Maybe that’s what hell is: the entire rest of eternity spent in fucking _.,BRUGES
Mayo county town,CASTLEBAR
"Mayonnaise, worse.",AOILI
Mediterranean resort area,RIVIERA
Meet me in _.,MONTAUK
Melville novel featuring Captain Ahab,MOBY DICK
Mesa Verde lead attorney,KIM WEXLER
Minimal-effort dating bio,TAKE ME OUT
Monaco capital,MONACO
Monobrowed actor,COUNT OLAF
Monobrowed villain,COUNT OLAF
Most shocking RIP cold open,MOUNTAIN LION
Mountain pass,COL
Movie that opens with spitting,THE FLORIDA PROJECT
Muad'Dib,PAUL ATREIDES
New York state capital,ALBANY
No-good-dirty-rotten-pig-stealing great-great-grandfather,ELYA YELNATS
Normal People setting,CARRICKLEA
NOT a retro hairstyle,AFRO
Not the greatest feeling..,EVER
Noted for bringing couples together,NOAH
Obsession sandwich,CAT
Of of of of of of of of of of,OFTENTIMES
"Oh, that… that deal just came through. I’ve got triples of the Barracuda now. Triples is best.",BOB ODENKIRK
Opponent,FOE
Over rated confection,OREO
Overused Love Island phrase 2026,LOVE LANGUAGE
"Pal, geopolitically speaking",ALLY
Passing fancies,FADS
Pervy little Michael Jackson fan,THE WEEKND
Phony,FAKE
Play with a ball,ROMEO AND JULIET
Prefix with skeleton,ENDO
Really bad parking administrators,MANCHESTER CITY COUNCIL
River of Spain,EBRO
Robert Pattinson roommate #1,JAMIE DORNAN
Robert Pattinson roommate #2,ANDREW GARFIELD
Robert Pattinson roommate #3,CHARLIE COX
Sad thighs fashion trend,GAA SHORTS
Secretly overrated band,THE BEATLES
Semicircular church recess,APSE
Serbia capital,BELGRADE
Sexy little socialist,ZOHRAN MAMDANI
She has to go,SERENA
She was holding hands with..,TREVOR
"Shrooms band outside, very good",TWO DOOR CINEMA CLUB
"Sink, alt",SWIM
Slay queen,ERA
Slovenia capital,LJUBLJANA
Smoke monster island,LOST
So many cats and motorbikes,MOROCCO
Something to be refined,ORE
"Sound lawyer, very not-sound author",RHEA SEEHORN
Sounds great after 3 pints,COCAINE
Spooky vibes,EERIE
Squealer,BOAR
Stately pair,DAKOTAS
Summons before Congress,BOOTYCALL
Swallowed hard,GULPED
Tab for a trip?,LSD
Teenagers scare the living _ out of me.,SHIT
Tender,GENTLE
Tennessee state capital,NASHVILLE
Texas state capital,AUSTIN
The best chef,BEN
The best dictator,CASTRO
The best show we'll never watch,SOPRANOS
The middle section of a church,NAVE
The MySpace of STDs,SYPHILIS
The two _.,YUTES
The worst captain,SANDY
The worst housewife,SUSAN
"There was no _____, it's a made up name!",TERESA CARMODY
There's always money in the _ stand!,BANANA
This author loves sending young people on holiday to argue,SALLY ROONEY
Tiny Ratatouille chef,REMY
Tip of a shoelace,AGLET
Tolkien novel featuring Bilbo Baggins,THE HOBBIT
Toothpaste-kissing indie band,THE MACCABEES
Treelike species in Middle-earth,ENT
Unfortunate ambigrammatic protagonist,STANLEY YELNATS
Unreal nepo baby musical,TRAP
Up the _!,RA
Very cheerful manager,MILCHICK
Very gay and didn't enjoy crack really,DAVID FISHER
Very Irish Brits,LIVERPUDLIANS
Water,HIJKLMNO
Web-footed,PALMATE
"Well, I don't want to do things independently, but I can't make you stay.",IF YOU WANNA
Wexford county town,WEXFORD
What pressing Alt-J on a Mac produces,DELTA
Why are you wearing that stupid _ suit?,MAN
Why does everyone in Sally Rooney books do this?,EMAIL
Wide open,AGAPE
Wisconsin state capital,MADISON
Worst Letterkenny episode,FARTBOOK
wow!,AH
wow!,OOH
You is kind. You is smart. You is _.,IMPORTANT
You should try your luck with..,HEATHER
Youngest EGOT winner,ROBERT LOPEZ
Your eggo is _.,PREGGO
Your favourite funeral-adjacent worker,NATE FISHER
Yum yum eat the rich,THE MENU
Yummy pints,GUINNESS
